week,원자재명,사용량,,,,,
2021-05-17,SRE-200SD-T,31508.58044,,,,,
2021-05-17,PEMA-500FR,9356.042546,,,,,
2021-05-17,PEMA-630XR,7154.544977,,,,,
2021-05-17,M30,10557.33779,,,,,
2021-05-17,PCA3000,33713.62651,,,,,
2021-05-17,Urea-20%,94222.1345,,,,,
2021-05-17,소포제(MR-130),1122.758891,,,,,
2021-05-17,AE 산하(덕소),204.86412,,,,,
2021-05-17,PEMA-550XD,3432.621517,,,,,
2021-05-17,SRE-110(50%),4081.445791,,,,,
2021-05-17,DEA,422.99005,,,,,
2021-05-17,VK1000,151.145042,,,,,
2021-05-17,Urea,261.482885,,,,,
2021-05-17,PEMA-300HT,126.89325,,,,,
2021-05-17,PEMA-350B,417.374325,,,,,
2021-05-17,설탕,0.025,,,,,
2021-05-17,PEMA-HR1000 내포,943.051572,,,,,
2021-05-17,PEMA-HR1000 동아,776.363292,,,,,
2021-05-17,PEMA-HR1000 서호,456.119748,,,,,
2021-05-17,PEMA-HR1000 동양,841.523256,,,,,
2021-05-17,PEMA-SR3000F 극,1159.623585,,,,,
2021-05-17,PEMA-HR1500 우성,939.304143,,,,,
2021-05-17,PEMA-SN400 하남(,211.384884,,,,,
2021-05-17,PEMA-SN400 청명(,877.07557,,,,,
2021-05-17,PEMA-SN400 유익(,249.962734,,,,,
2021-05-17,PEMA-SR2000 영남,1225.038915,,,,,
2021-05-17,PEMA-SP1000 대보,524.845335,,,,,
2021-05-17,MONODN1501,19.686,,,,,
2021-05-17,MONODN1502,19.686,,,,,
2021-05-17,BDG,288.728,,,,,
2021-05-24,사용수,852179.2013,,,,,
2021-05-24,공기연행제,4344.20286,,,,,
2021-05-24,RA-300S,33369.42465,,,,,
2021-05-24,PEMA-WRE-600(5,5904.976053,,,,,
2021-05-24,PC소포제,442.660664,,,,,
2021-05-24,PEMA-HR1000 태명,670.50614,,,,,
2021-05-24,PEMA-SR3000F 현,645.614729,,,,,
2021-05-24,PEMA-HR1000 영동,1046.179844,,,,,
2021-05-24,PEMA-PR2000 영풍,113.701155,,,,,
2021-05-24,PEMA-SR3000F 대,210.61422,,,,,
2021-05-24,PEMA-HR1500 삼덕,981.1993,,,,,
2021-05-24,CSA5000 서원(태안),871.96322,,,,,
2021-05-24,CSA5000 삼표(풍납),531.816666,,,,,
2021-05-24,PEMA-HR1500 신송,633.778217,,,,,
2021-05-24,PEMA-SR2000 정선,702.714129,,,,,
2021-05-24,PEMA-SR2000 울산,403.453598,,,,,
